period_start,store_id,service_level
2020-01-31,1,1.0
2020-01-31,2,1.0
2020-01-31,3,1.0
2020-01-31,4,1.0
2020-01-31,5,1.0
2020-01-31,6,1.0
2020-01-31,7,1.0
2020-01-31,8,1.0
2020-01-31,9,1.0
2020-01-31,10,1.0
2020-02-29,1,1.0
2020-02-29,2,1.0
2020-02-29,3,1.0
2020-02-29,4,1.0
2020-02-29,5,1.0
2020-02-29,6,1.0
2020-02-29,7,1.0
2020-02-29,8,1.0
2020-02-29,9,1.0
2020-02-29,10,1.0
2020-03-31,1,1.0
2020-03-31,2,1.0
2020-03-31,3,1.0
2020-03-31,4,1.0
2020-03-31,5,1.0
2020-03-31,6,1.0
2020-03-31,7,1.0
2020-03-31,8,1.0
2020-03-31,9,1.0
2020-03-31,10,1.0
2020-04-30,1,1.0
2020-04-30,2,1.0
2020-04-30,3,1.0
2020-04-30,4,1.0
2020-04-30,5,1.0
2020-04-30,6,1.0
2020-04-30,7,1.0
2020-04-30,8,1.0
2020-04-30,9,1.0
2020-04-30,10,1.0
2020-05-31,1,1.0
2020-05-31,2,1.0
2020-05-31,3,1.0
2020-05-31,4,1.0
2020-05-31,5,1.0
2020-05-31,6,1.0
2020-05-31,7,1.0
2020-05-31,8,1.0
2020-05-31,9,1.0
2020-05-31,10,1.0
2020-06-30,1,1.0
2020-06-30,2,1.0
2020-06-30,3,1.0
2020-06-30,4,1.0
2020-06-30,5,1.0
2020-06-30,6,1.0
2020-06-30,7,1.0
2020-06-30,8,1.0
2020-06-30,9,1.0
2020-06-30,10,1.0
2020-07-31,1,1.0
2020-07-31,2,1.0
2020-07-31,3,1.0
2020-07-31,4,1.0
2020-07-31,5,1.0
2020-07-31,6,1.0
2020-07-31,7,1.0
2020-07-31,8,1.0
2020-07-31,9,1.0
2020-07-31,10,1.0
2020-08-31,1,1.0
2020-08-31,2,1.0
2020-08-31,3,1.0
2020-08-31,4,1.0
2020-08-31,5,1.0
2020-08-31,6,1.0
2020-08-31,7,1.0
2020-08-31,8,1.0
2020-08-31,9,1.0
2020-08-31,10,1.0
2020-09-30,1,1.0
2020-09-30,2,1.0
2020-09-30,3,1.0
2020-09-30,4,1.0
2020-09-30,5,1.0
2020-09-30,6,1.0
2020-09-30,7,1.0
2020-09-30,8,1.0
2020-09-30,9,1.0
2020-09-30,10,1.0
2020-10-31,1,1.0
2020-10-31,2,1.0
2020-10-31,3,1.0
2020-10-31,4,1.0
2020-10-31,5,1.0
2020-10-31,6,1.0
2020-10-31,7,1.0
2020-10-31,8,1.0
2020-10-31,9,1.0
2020-10-31,10,1.0
2020-11-30,1,1.0
2020-11-30,2,1.0
2020-11-30,3,1.0
2020-11-30,4,1.0
2020-11-30,5,1.0
2020-11-30,6,1.0
2020-11-30,7,1.0
2020-11-30,8,1.0
2020-11-30,9,1.0
2020-11-30,10,1.0
2020-12-31,1,1.0
2020-12-31,2,1.0
2020-12-31,3,1.0
2020-12-31,4,1.0
2020-12-31,5,1.0
2020-12-31,6,1.0
2020-12-31,7,1.0
2020-12-31,8,1.0
2020-12-31,9,1.0
2020-12-31,10,1.0
2021-01-31,1,1.0
2021-01-31,2,1.0
2021-01-31,3,1.0
2021-01-31,4,1.0
2021-01-31,5,1.0
2021-01-31,6,1.0
2021-01-31,7,1.0
2021-01-31,8,1.0
2021-01-31,9,1.0
2021-01-31,10,1.0
2021-02-28,1,1.0
2021-02-28,2,1.0
2021-02-28,3,1.0
2021-02-28,4,1.0
2021-02-28,5,1.0
2021-02-28,6,1.0
2021-02-28,7,1.0
2021-02-28,8,1.0
